id,name,type,description,race,archetype,tcgplayer price,cardmarket price,ebay price,amazon price,coolstuffinc price
91231901,"""A"" Cell Recombination Device",Spell Card,"Target 1 face-up monster on the field; send 1 ""Alien"" monster from your Deck to the Graveyard, and if you do, place A-Counters on that monster equal to the Level of the sent monster. During your Main Phase, except the turn this card was sent to the Graveyard: You can banish this card from your Graveyard; add 1 ""Alien"" monster from your Deck to your hand.",Quick-Play,Alien,0.2,0.1,0.99,0.5,0.49
90861137,"""Infernoble Arms - Joyeuse""",Spell Card,"While this card is equipped to a monster: You can target 1 FIRE Warrior monster in your GY; add it to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can Special Summon 1 FIRE Warrior monster from your hand. You can only use 1 """"Infernoble Arms - Joyeuse"""" effect per turn, and only once that turn.",Equip,Noble Knight,0.19,0.18,0.99,0.45,0.0
80845034,"""The Sinful Spoils Hunter Fiend""",Spell Card,"Add 1 ""Diabellestarr"" monster from your Deck or GY to your hand. During your Main Phase: You can banish this card from your GY, then target 1 of your ""Sinful Spoils"" Spells/Traps that is banished or in your GY, except """"The Sinful Spoils Hunter Fiend""""; place it on the bottom of the Deck, then draw 1 card. You can only use each effect of """"The Sinful Spoils Hunter Fiend"""" once per turn.",Quick-Play,Sinful Spoils,0.0,0.0,0.0,0.0,0.0
44256816,1st Movement Solo,Spell Card,"If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card, except ""Melodious"" monsters.",Normal,Melodious,0.94,2.85,3.5,2.19,1.99
11714098,"30,000-Year White Turtle",Normal Monster,"A huge turtle that has existed for more than 30,000 years.",Aqua,,0.0,0.0,10.0,0.5,0.0
14261867,8-Claws Scorpion,Effect Monster,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",Insect,,0.22,0.11,0.99,0.2,0.25
8949584,A Hero Lives,Spell Card,"If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower ""Elemental HERO"" monster from your Deck.",Normal,Elemental HERO,0.2,0.02,1.28,20.0,0.25
51351302,A Man with Wdjat,Effect Monster,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.",Spellcaster,,0.19,0.12,0.99,0.99,0.39
44553392,"A Shattered, Colorless Realm",Trap Card,"If ""Vicious Astraloud"" is on the field: Target 1 card on the field; destroy it, then, if the destroyed card's original name was ""Vicious Astraloud"", you can Special Summon 1 of your banished ""Visas Starfrost"", or if it was not, you can make 1 ""Vicious Astraloud"" you control gain 1500 ATK.",Normal,,0.03,0.13,0.0,0.0,0.49
23587624,A Wild Monster Appears!,Spell Card,"If your opponent controls a monster and you control no monsters: Special Summon from your hand, 1 monster with an original Level of 10 or lower that cannot be Normal Summoned/Set, ignoring its Summoning conditions. It is unaffected by the effects of your cards, except for its own effects and this card's, also shuffle it into the Deck during your opponent's next End Phase. For the rest of this turn, you cannot Normal Summon/Set or Special Summon monsters, and your opponent takes no damage.",Normal,,0.04,0.05,0.99,0.45,0.39
77421977,A.I. Shadow,Trap Card,"Activate this card by targeting 1 ""@Ignister"" monster you control. That monster gains 800 ATK, also all monsters your opponent controls must attack that monster you control, if able. If this face-up card in its owner's Spell & Trap Zone has left the field because of an opponent's effect, and is now in the GY or banished: Draw 1 card. You can only use this effect of ""A.I. Shadow"" once per turn.",Continuous,@Ignister,0.04,0.03,0.99,0.2,0.49
22933016,A.I.dle Reborn,Spell Card,"Target 1 ""@Ignister"" monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of this turn after this card resolves, except Cyberse monsters. When an attack is declared involving 2 monsters: You can banish this card from your GY and 1 card from your hand, then target 1 of your ""A.I."" Spells/Traps that is banished or in your GY, except ""A.I.dle Reborn""; add that card to your hand. You can only use each effect of ""A.I.dle Reborn"" once per turn.",Quick-Play,@Ignister,0.17,0.16,0.99,0.25,0.25
96146814,A/D Changer,Effect Monster,"You can banish this card from your Graveyard, then target 1 monster on the field; change its battle position.",Warrior,,0.2,0.07,1.55,0.25,0.25
12694768,Abaki,Effect Monster,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage.",Fiend,,0.19,0.09,0.99,0.56,0.25
27412542,Abomination's Prison,Spell Card,"Add 1 ""Unchained"" card from your Deck to your hand. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abomination's Prison"" once per turn.",Normal,Unchained,21.61,20.91,4.95,7.99,2.99
2368215,Abyss Actor - Hyper Director,Link Monster,"1 ""Abyss Actor"" Pendulum Monster
You can target 1 card in your Pendulum Zone; Special Summon it, then place 1 ""Abyss Actor"" Pendulum Monster with a different name, from your Deck or face-up Extra Deck, to your Pendulum Zone, also you cannot Normal or Special Summon monsters for the rest of this turn, except ""Abyss Actor"" monsters. You can only use this effect of ""Abyss Actor - Hyper Director"" once per turn.",Fiend,Abyss Actor,0.23,0.2,0.99,0.25,0.39
24907044,Abyss Actor - Leading Lady,Pendulum Effect Monster,"[ Pendulum Effect ] 
Once per turn, when you take battle damage from an opponent's attacking monster: You can activate 1 of these effects; ● That opponent's monster loses ATK equal to the damage you took (even if this card leaves the field). ● Add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand with ATK less than or equal to the damage you took.
[ Monster Effect ] 
Once per turn, when battle damage is inflicted: You can target 1 face-up monster your opponent controls; it loses ATK equal to that battle damage. When this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Set 1 ""Abyss Script"" Spell directly from your Deck.",Fiend,Abyss Actor,0.14,0.05,0.99,0.99,0.49
39024589,Abyss Actor - Trendy Understudy,Pendulum Effect Monster,"[ Pendulum Effect ] 
When you Pendulum Summon a monster: You can add 1 face-up Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.
[ Monster Effect ] 
If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: You can Tribute this card; Special Summon 1 Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your hand or face-up from your Extra Deck. You can only use this effect of ""Abyss Actor - Trendy Understudy"" once per turn.",Fiend,Abyss Actor,0.07,0.05,0.99,0.2,0.25
4682617,Abyss Actors' Curtain Call,Trap Card,"If an ""Abyss Script"" Spell Card or effect is activated this turn: Add face-up ""Abyss Actor"" Pendulum Monsters from your Extra Deck to your hand, up to the number of ""Abyss Script"" Spells in your GY. Then, you can Special Summon ""Abyss Actor"" Pendulum Monsters from your hand with different names, up to the number of monsters added to the hand by this effect. You cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" Pendulum Monsters. You can only activate 1 ""Abyss Actors' Curtain Call"" per turn.",Normal,Abyss Actor,0.09,0.07,0.99,1.0,0.25
23784496,Abyss Script - Opening Ceremony,Spell Card,"Gain 500 LP for each ""Abyss Actor"" monster you control. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can draw until you have 5 cards in your hand. You can only use each effect of ""Abyss Script - Opening Ceremony"" once per turn.",Normal,Abyss Actor,0.16,0.08,0.99,0.25,0.25
18318842,Abyss Soldier,Effect Monster,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.,Aqua,,3.03,3.09,12.14,2.35,3.99
88409165,Abyss Warrior,Effect Monster,"Once per turn: You can discard 1 WATER monster to the Graveyard, then target 1 monster in either player's Graveyard; return that target to either the top or bottom of the Deck.",Aqua,,0.2,0.11,4.95,0.25,0.25
